logFC	AveExpr	t	P.Value	adj.P.Val	B	entrez_id
406915	7.04921847826982	10.2262989638219	22.9919796956807	0.0000000000000000000499813770390653	0.000000000000000854931454253213	34.8159858291258	406915
26805	-4.22913091640592	6.65767599055399	-20.9181196353268	0.000000000000000000649175243094229	0.00000000000000460816716329449	32.5347342608154	26805
26787	-3.69152404255693	6.17945600155959	-20.7488399392173	0.000000000000000000808214059624874	0.00000000000000460816716329449	32.3372690814399	26787
692196	-3.64220895150961	6.33222665620683	-20.5249667898354	0.00000000000000000108251918556396	0.00000000000000462912266726788	32.073352473311	692196
692233	-5.14194651546686	8.42494123106246	-17.7585125327659	0.0000000000000000513530568576136	0.000000000000175678807509896	28.5302100239724	692233
692206	-4.29987373477944	6.72531108016175	-17.560590636754	0.0000000000000000689961609266372	0.000000000000196696555441688	28.2550458102589	692206
9302	-2.8527461798048	5.93776100002909	-16.9114458883516	0.00000000000000018540307014577	0.000000000000440067234454556	27.3302857487821	9302
619567	-4.22186616372528	6.59711590773527	-16.8440185230233	0.000000000000000205819226871468	0.000000000000440067234454556	27.2322250687947	619567
692213	-4.59289749529824	8.68592370280158	-16.2903854798823	0.000000000000000491746717194101	0.000000000000934591955289456	26.4123150063041	692213
6090	-4.21484227120982	12.2820656691793	-15.8156224373946	0.00000000000000105808343094851	0.00000000000168051932449821	25.6876417087688	6090
84546	-4.70664173162133	8.37797355094732	-15.8026667492605	0.00000000000000108071982282843	0.00000000000168051932449821	25.6675793862062	84546
26807	-4.88705042266439	8.47391804815362	-15.5571722843845	0.00000000000000161831307039238	0.00000000000230677042242181	25.2844855366266	26807
692106	-4.54491412847178	9.18329978639316	-15.1581612831594	0.00000000000000315363932533186	0.0000000000041494615892155	24.6497136378757	692106
26795	-3.49632627638604	6.36561004724848	-14.6568719374284	0.00000000000000743778621438438	0.00000000000908738094264606	23.8303115267167	26795
692210	-4.98477885342417	7.86728537842847	-14.5779804481349	0.00000000000000853071595634375	0.00000000000918267064964382	23.699075120196	692210
26817	-4.98406431205298	8.10919980313267	-14.55446119227	0.00000000000000888759497030954	0.00000000000918267064964382	23.6598287487065	26817
26810	-4.83312516724554	7.73937045018055	-14.539266685985	0.00000000000000912630231183543	0.00000000000918267064964382	23.6344439333457	26810
26776	-3.570407404199	7.53725673268617	-14.4665038318108	0.0000000000000103644183471559	0.00000000000984907643489457	23.512556090423	26776
26813	-4.98196279573406	7.93935026546958	-14.4218651527481	0.0000000000000112084496759846	0.0000000000100905543004061	23.4375122234527	26813
677850	-4.14994932580344	7.64080406922338	-14.2595852715683	0.0000000000000149222515376036	0.0000000000127622556275355	23.162967813589	677850
116937	-4.13804886999157	7.54070362551983	-14.2211634292476	0.0000000000000159742029073738	0.0000000000130113686062204	23.0975662326792	116937
6086	-5.01875279110841	11.5676791707872	-14.1303621189497	0.0000000000000187749362910704	0.0000000000145975129663072	22.9423916375838	6086
692200	-5.06602895863295	10.8309031854153	-14.0987587683132	0.0000000000000198644979195653	0.0000000000147731407353985	22.8881803206619	692200
692208	-4.64674628348611	9.7760576746858	-13.9115013489143	0.0000000000000278034137176116	0.0000000000198157246516561	22.5647985452919	692208
692225	-5.93397376848164	8.480988886144	-13.8783949315482	0.0000000000000295166946707426	0.0000000000201953224937221	22.5072376149584	692225
4719	-3.2305711431399	6.87265605060858	-13.8071699804084	0.0000000000000335812168778691	0.0000000000220925659498443	22.3830029329443	4719
692234	-3.68613570429351	6.9719826065872	-13.7059625649547	0.0000000000000403723058807496	0.000000000025576603410749	22.2055304164674	692234
2209	3.54095273142256	7.1355223226435	13.5646180171171	0.0000000000000523035563795731	0.0000000000319518689954499	21.9558123912015	2209
9301	-3.4674663308904	6.63167060557125	-13.4559208112873	0.0000000000000639142518294873	0.0000000000376983888808062	21.7622832820355	9301
641648	-2.66057041047901	5.92938872942863	-13.3533188730851	0.0000000000000773140615181486	0.0000000000440819007422644	21.5784070443376	641648
594837	-3.5645910506617	6.53627735183693	-13.1988605693513	0.000000000000103176044467893	0.0000000000569298787297844	21.2993803036618	594837
619498	-3.55931667404974	6.82054505444813	-13.1500590933733	0.000000000000113082736353063	0.0000000000604462564162234	21.2106629799371	619498
677814	-3.90266020027989	6.95231014976259	-13.0899690846959	0.000000000000126640243625314	0.0000000000656418596124542	21.1010533625061	677814
692227	-3.36204487539075	13.2333313854241	-13.0130447070401	0.000000000000146474748955214	0.0000000000736897229670273	20.9601365971954	692227
